Unigrams,Freq
aşk,670
nedir,102
bakışıyla,4
içini,26
titreten,7
ruhunu,29
saran,31
ateştir,4
elini,62
tuttuğunda,1
bedenini,14
sıcaklıktır,1
sesini,120
duyduğunda,3
bir,14583
gün,1014
göremeyince,1
acıyla,32
kıvranıp,4
özlemle,19
yanmaktır,1
yüreğinizi,2
sızıdır,2
yalnız,295
kaldığınızda,1
nefes,126
alamamaktır,1
çaresiz,57
kalmaktır,2
onsuz,5
yaşayamamaktır,1
sana,965
gitme,62
demeyeceğim,5
üşüyorsun,4
ceketimi,2
al,198
günün,97
en,1064
güzel,515
saatleri,22
bunlar,67
yanımda,91
kal,73
gene,56
de,2059
sen,1960
bilirsin,40
yalanlar,19
istiyorsan,6
söyleyeyim,5
i̇ncinirsin,1
lavinia,2
adını,163
gizleyeceğim,2
seni,1352
bulmaktan,4
önce,303
aramak,9
isterim,44
sevmekten,12
anlamak,24
yaşam,70
boyu,89
bitirmek,3
değil,740
hep,764
yeniden,263
başlamak,4
saklayacağım,4
inan,46
yazdıklarımda,2
çizdiklerimde,1
şarkılarımda,2
sözlerimde,5
kalacaksın,4
kimse,191
bilmeyecek,4
ve,4722
kimseler,23
görmeyecek,3
yaşayacaksın,6
gözlerimde,87
göreceksin,12
duyacaksın,7
parıldayan,6
sevi,8
sıcaklığı,20
uyuyacak,1
uyanacaksın,4
bakacaksın,5
benzemiyor,3
gelen,153
günler,96
geçenlere,3
dalacaksın,1
seviyi,2
harcamaktır,1
harcayacaksın,1
yaşayacağım,9
anlatılmaz,4
tam,178
anlatmaya,17
gözlerimi,82
kapayacağım,2
anlayacaksın,9
i̇nsansız,3
adalet,12
olmaz,108
adaletsiz,4
insan,293
olur,508
mu,225
ama,736
olsun,388
sigaranın,6
dumanını,6
dudaklarından,31
bıraktığın,31
gibi,3347
bin,281
yıldızla,6
birlikte,181
uzaklarda,51
parladığın,1
binlerce,117
gecenin,321
içinden,101
ansızın,106
gelsem,9
öpsem,6
yüreğini,65
çatlamış,8
ellerinle,28
topraktan,27
aldığın,11
buğday,41
sevgisizlikten,2
katılaşmış,1
bükülmeyen,1
bedenin,23
heyecanla,8
titreyen,37
aşkı,155
anlatan,16
sesin,84
yeminli,8
aşkını,24
saklı,87
ihtirasına,1
kurban,42
eden,88
sevmesini,5
bilmeyip,1
gerçekleri,7
sakladığın,9
rüyalarına,7
alıp,161
koruyamadığın,1
sevdan,33
sevgiden,22
yoksun,50
yüreklere,14
kurşun,101
eriyor,19
kemiklerim,3
yerlere,32
boşalıyor,6
i̇çleri,2
aynalar,16
çılgın,63
granitler,1
kristaller,1
acemi,26
an,295
çevir,12
yüzünü,78
sevinsin,2
kapansın,4
son,636
kez,256
hasret,180
gözlerim,188
kim,429
o,2774
deme,24
boşuna,39
benim,812
ben,2134
öyle,589
ki,1811
kapına,12
başdan,2
başa,33
yalnızlık,142
yaşamda,15
başlayan,30
dışından,4
anlaşılmaz,15
ya,622
da,1586
kocaman,65
yalan,145
kovdukça,1
kovalayan,7
paylaşılmaz,3
düşün'de,1
beni,1539
ayıran,13
paylaşılsa,3
akşam,312
üstü,32
pencerenden,4
bakıyordun,1
ağır,178
yollara,54
inen,29
karanlığa,50
bana,899
benzeyen,31
biri,381
geçti,150
evinin,11
önünden,22
kalbin,38
başladı,79
hızlı,33
çarpmaya,2
geçen,141
değildim,10
gece,707
yatağında,21
uyuyordun,9
uyanıverdin,1
birden,192
sessiz,196
dünyaya,115
rüyanın,5
parçasıydı,2
gözlerini,166
açan,78
karanlıklar,20
içindeydi,6
odan,4
gören,30
çok,1109
uzaktaydım,2
zaman,941
gözlerin,245
kavuştu,3
ağlamaya,12
sebepsiz,18
artık,729
düşünmeye,6
başladığından,2
bıraktın,22
kendini,245
içinde,592
yaşamaya,24
bunu,143
bilen,42
kitap,34
okuyordun,1
dalgın,40
i̇çinde,47
insanlar,98
seviyor,16
ölüyorlardı,1
genç,111
adamı,30
öldürdüler,3
romanda,2
korktun,2
bütün,830
yininle,1
başladın,2
ölen,28
gülüş,20
yanaşım'dır,1
öbür,43
kişiye,7
bir'den,2
iki,344
kişiyi,9
döndürür,15
anılarından,1
kale,8
yapıp,23
sığınsa,1
bile,543
yetmez,35
başına,128
ömür,121
giderken,88
bura,5
için,1314
gelince,54
ora,5
gününde,8
gecende,3
kendince,6
böldün,2
yarım'a,1
i̇ki,145
yaralandın,1
yarım,136
yara,69
ağlamak,27
unutmak,29
kadar,1050
kolaydır,3
sevin,11
ağlayabiliyorsan,2
ağlıyorsan,2
gül,380
ağlayabiliyorum,1
diye,691
ağlıyorum,24
birşey,27
yapamam,2
ağlayamıyorsan,1
bazı,68
acılarda,5
ölümlere,5
örtüsüdür,1
acıların,26
örter,11
örtülmez,1
savunur,4
süre,30
ağlayanlar,2
sevinmeli,1
ağlıyabiliyorsan,1
acılar,77
art,3
arda,8
dinmeli,1
durur,79
nöbetçi,6
bekçi,6
zamana,46
gülmeli,4
unutmanın,8
kardeşidir,3
uyur,30
uyanır,23
duyguların,22
düşüncenin,6
kucağında,15
çocuktur,9
akıllı,9
olduğunu,175
düşünemeyecek,1
deli,187
olduğu,73
düşünülmeyecek,1
deli’nin,1
niçindenliğini,1
bilmediği,19
sıkıntısı,6
geçiyor,100
uyanmak,10
yatağından,13
kaldıracak,2
adamın,41
gözleri,173
adama,21
uyanışı,2
anlatacak,13
gel,335
diyecek,10
doğrulmak,1
kucağına,22
alacak,14
adımın,6
birincisi,5
ayağına,10
sarılacak,2
i̇kinci,14
adım,140
birincisinin,1
doğacak,15
adımlar,12
ana,94
oğul,46
babasız,4
sıralanacak,1
bak,360
deyecek,11
pencere,35
kuşatacak,1
bakışlarını,18
caddeye,2
serecek,4
görüşleri,1
yayılacak,1
caddede,4
gezinecek,1
oda,30
bu,3578
sırada,16
işe,21
karışacak,1
dışına,15
çıkaracak,3
çıkmak,12
fiillere,1
komutan,2
çıkacak,18
merdivenlere,2
indir,7
komutunu,1
verecek,23
merdivenler,5
onu,333
kapıya,23
itecek,1
açıl,3
komutu,2
gelecek,82
kapı,86
işi,38
